HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.img_url,Answer.Answer_1,Answer.Answer_2,Answer.Answer_3,Answer.Answer_4,Approve,Reject
3KLL7H3EGDIE4WMSLZGRVQAOGKYHV2,31IV7WI13C3HWUGW904VC89GWVC5H2,Label image with its location,Answer questions about an image to label its location.,"image categorization, locations, scene recognition",$0.03,Mon Jun 27 12:25:27 PDT 2016,3,BatchId:2445127;,600,28800,Mon Jul 04 12:25:27 PDT 2016,,,31HQ4X3T3TS2LKM88RVM1FF6DTBLSL,A7E4VW3AI4OFJ,Approved,Mon Jun 27 12:29:36 PDT 2016,Mon Jun 27 12:29:48 PDT 2016,Mon Jun 27 20:29:48 PDT 2016,Mon Jun 27 13:01:23 PDT 2016,,,12,100% (85/85),100% (85/85),100% (9/9),http://s3.amazonaws.com/caption-scene/upload_batches/13000_14000/3330675488.jpg,1,1,,2,,
3KLL7H3EGDIE4WMSLZGRVQAOGKYHV2,31IV7WI13C3HWUGW904VC89GWVC5H2,Label image with its location,Answer questions about an image to label its location.,"image categorization, locations, scene recognition",$0.03,Mon Jun 27 12:25:27 PDT 2016,3,BatchId:2445127;,600,28800,Mon Jul 04 12:25:27 PDT 2016,,,3CCZ6YKWR816EGNO7YFO3VEJZFN95B,A2S086D4NCVE24,Approved,Mon Jun 27 12:29:34 PDT 2016,Mon Jun 27 12:29:50 PDT 2016,Mon Jun 27 20:29:50 PDT 2016,Mon Jun 27 13:01:24 PDT 2016,,,16,100% (15/15),100% (15/15),100% (15/15),http://s3.amazonaws.com/caption-scene/upload_batches/13000_14000/3330675488.jpg,1,1,,3,,
3KLL7H3EGDIE4WMSLZGRVQAOGKYHV2,31IV7WI13C3HWUGW904VC89GWVC5H2,Label image with its location,Answer questions about an image to label its location.,"image categorization, locations, scene recognition",$0.03,Mon Jun 27 12:25:27 PDT 2016,3,BatchId:2445127;,600,28800,Mon Jul 04 12:25:27 PDT 2016,,,3LOZAJ85YEV4GFMZSVJ4LRXPM8KX2E,A20K80GWXI69Z7,Approved,Mon Jun 27 12:25:37 PDT 2016,Mon Jun 27 12:27:15 PDT 2016,Mon Jun 27 20:27:15 PDT 2016,Mon Jun 27 13:01:24 PDT 2016,,,98,100% (205/205),100% (205/205),100% (91/91),http://s3.amazonaws.com/caption-scene/upload_batches/13000_14000/3330675488.jpg,1,0,0,,,
3L55D8AUFAE4RI6H4IPARYH2L9VCYX,31IV7WI13C3HWUGW904VC89GWVC5H2,Label image with its location,Answer questions about an image to label its location.,"image categorization, locations, scene recognition",$0.03,Mon Jun 27 12:25:27 PDT 2016,3,BatchId:2445127;,600,28800,Mon Jul 04 12:25:27 PDT 2016,,,39ZSFO5CA9EC57QCUBE901K2U1RJUX,A2R819T7EYBI95,Approved,Mon Jun 27 12:29:52 PDT 2016,Mon Jun 27 12:30:01 PDT 2016,Mon Jun 27 20:30:01 PDT 2016,Mon Jun 27 13:01:24 PDT 2016,,,9,100% (18/18),100% (18/18),100% (18/18),http://s3.amazonaws.com/caption-scene/upload_batches/10000_11000/3005126574.jpg,1,0,5,,,
3L55D8AUFAE4RI6H4IPARYH2L9VCYX,31IV7WI13C3HWUGW904VC89GWVC5H2,Label image with its location,Answer questions about an image to label its location.,"image categorization, locations, scene recognition",$0.03,Mon Jun 27 12:25:27 PDT 2016,3,BatchId:2445127;,600,28800,Mon Jul 04 12:25:27 PDT 2016,,,3EQHHY4HQTALTQAWL4LYVC063SG5GW,A20K80GWXI69Z7,Approved,Mon Jun 27 12:26:09 PDT 2016,Mon Jun 27 12:32:25 PDT 2016,Mon Jun 27 20:32:25 PDT 2016,Mon Jun 27 13:01:24 PDT 2016,,,376,100% (205/205),100% (205/205),100% (91/91),http://s3.amazonaws.com/caption-scene/upload_batches/10000_11000/3005126574.jpg,0,0,4,,,
3L55D8AUFAE4RI6H4IPARYH2L9VCYX,31IV7WI13C3HWUGW904VC89GWVC5H2,Label image with its location,Answer questions about an image to label its location.,"image categorization, locations, scene recognition",$0.03,Mon Jun 27 12:25:27 PDT 2016,3,BatchId:2445127;,600,28800,Mon Jul 04 12:25:27 PDT 2016,,,3YWRV122CTHNLQUT37HIBBBOEQXU8O,A2S086D4NCVE24,Approved,Mon Jun 27 12:30:34 PDT 2016,Mon Jun 27 12:30:51 PDT 2016,Mon Jun 27 20:30:51 PDT 2016,Mon Jun 27 13:01:24 PDT 2016,,,17,100% (15/15),100% (15/15),100% (15/15),http://s3.amazonaws.com/caption-scene/upload_batches/10000_11000/3005126574.jpg,1,0,5,,,
3FO95NVK5CHB1YJRN9NGY7SN4P2SR5,31IV7WI13C3HWUGW904VC89GWVC5H2,Label image with its location,Answer questions about an image to label its location.,"image categorization, locations, scene recognition",$0.03,Mon Jun 27 12:25:27 PDT 2016,3,BatchId:2445127;,600,28800,Mon Jul 04 12:25:27 PDT 2016,,,33CID57105BY131TICULT77ULDDL3U,A20K80GWXI69Z7,Approved,Mon Jun 27 12:31:13 PDT 2016,Mon Jun 27 12:35:38 PDT 2016,Mon Jun 27 20:35:38 PDT 2016,Mon Jun 27 13:01:24 PDT 2016,,,265,100% (205/205),100% (205/205),100% (91/91),http://s3.amazonaws.com/caption-scene/upload_batches/16000_17000/3646927481.jpg,1,0,2,,,
3FO95NVK5CHB1YJRN9NGY7SN4P2SR5,31IV7WI13C3HWUGW904VC89GWVC5H2,Label image with its location,Answer questions about an image to label its location.,"image categorization, locations, scene recognition",$0.03,Mon Jun 27 12:25:27 PDT 2016,3,BatchId:2445127;,600,28800,Mon Jul 04 12:25:27 PDT 2016,,,33LKR6A5KF2QADVJ4HITR52EH6LT1D,A2OJ5XOEKTKRR9,Approved,Mon Jun 27 12:31:34 PDT 2016,Mon Jun 27 12:35:13 PDT 2016,Mon Jun 27 20:35:13 PDT 2016,Mon Jun 27 13:01:25 PDT 2016,,,219,97% (38/39),100% (33/33),100% (33/33),http://s3.amazonaws.com/caption-scene/upload_batches/16000_17000/3646927481.jpg,1,0,2,,,
3FO95NVK5CHB1YJRN9NGY7SN4P2SR5,31IV7WI13C3HWUGW904VC89GWVC5H2,Label image with its location,Answer questions about an image to label its location.,"image categorization, locations, scene recognition",$0.03,Mon Jun 27 12:25:27 PDT 2016,3,BatchId:2445127;,600,28800,Mon Jul 04 12:25:27 PDT 2016,,,3UN61F00HX7CIGJA1FFAUGED51SR5F,A2S086D4NCVE24,Approved,Mon Jun 27 12:30:05 PDT 2016,Mon Jun 27 12:30:14 PDT 2016,Mon Jun 27 20:30:14 PDT 2016,Mon Jun 27 13:01:25 PDT 2016,,,9,100% (15/15),100% (15/15),100% (15/15),http://s3.amazonaws.com/caption-scene/upload_batches/16000_17000/3646927481.jpg,1,1,,1,,
3HUR21WDDU6SUGHCVELX5B2CMRJXYK,31IV7WI13C3HWUGW904VC89GWVC5H2,Label image with its location,Answer questions about an image to label its location.,"image categorization, locations, scene recognition",$0.03,Mon Jun 27 12:25:27 PDT 2016,3,BatchId:2445127;,600,28800,Mon Jul 04 12:25:27 PDT 2016,,,3HVVDCPGTFAN0J6MG6P25SDOORTYTF,A2R819T7EYBI95,Approved,Mon Jun 27 12:30:01 PDT 2016,Mon Jun 27 12:30:07 PDT 2016,Mon Jun 27 20:30:07 PDT 2016,Mon Jun 27 13:01:25 PDT 2016,,,6,100% (18/18),100% (18/18),100% (18/18),http://s3.amazonaws.com/caption-scene/upload_batches/12000_13000/3222250187.jpg,1,1,,0,,
