"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.img_url","Answer.Answer_1","Answer.Answer_2","Answer.Answer_3","Answer.Answer_4","Approve","Reject"
"341H3G5YF0VK2GL6ONSISVUWT9O0Z8","377YSAKP64Z7EXND4X93FKNSP0FNM6","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 10:31:37 PDT 2016","1","BatchId:133918;","900","604800","Tue Jul 19 10:31:37 PDT 2016","","","3PZDLQMM0U3GDHB41ZHQO4H7VZE2CP","AZD3HQEB7KVNT","Submitted","Tue Jul 12 08:26:59 PDT 2016","Tue Jul 12 08:27:11 PDT 2016","Tue Jul 19 08:27:11 PDT 2016","","","","12","98% (968/985)","99% (141/142)","100% (104/104)","http://s3.amazonaws.com/caption-scene/upload_batches/27000_28000/5769961721.jpg","0","0","5",""
"371DNNCG44J6YTHADZGFZMZXRBE8TN","377YSAKP64Z7EXND4X93FKNSP0FNM6","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 10:31:38 PDT 2016","1","BatchId:133918;","900","604800","Tue Jul 19 10:31:38 PDT 2016","","","30LB5CDZNDSMP0J0EQXKGEPD7JG0Z2","AZD3HQEB7KVNT","Submitted","Tue Jul 12 08:59:31 PDT 2016","Tue Jul 12 08:59:41 PDT 2016","Tue Jul 19 08:59:41 PDT 2016","","","","10","98% (968/985)","99% (141/142)","100% (104/104)","http://s3.amazonaws.com/caption-scene/upload_batches/25000_26000/4921377842.jpg","1","0","4",""
"3MGHRFQY2L6KXQB1S1QZEOLUNFK0YH","377YSAKP64Z7EXND4X93FKNSP0FNM6","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 10:31:37 PDT 2016","1","BatchId:133918;","900","604800","Tue Jul 12 10:31:37 PDT 2016","","","31N2WW6R9S8C1BRXW1LWFK72YQ33F9","A1E2VJH791INAX","Submitted","Sat Jul 09 18:58:41 PDT 2016","Sat Jul 09 18:59:02 PDT 2016","Sat Jul 16 18:59:02 PDT 2016","","","","21","0% (0/0)","0% (0/0)","0% (0/0)","http://s3.amazonaws.com/caption-scene/upload_batches/4000_5000/2262919211.jpg","1","0","0",""
"3G57RS03HHMTRC4VWMPGMFGGP9125Q","377YSAKP64Z7EXND4X93FKNSP0FNM6","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 10:34:05 PDT 2016","1","BatchId:133918;","900","604800","Tue Jul 12 10:34:05 PDT 2016","","","3LPW2N6LKUK4Y8BR594OGH6PM995U0","A1E2VJH791INAX","Submitted","Sat Jul 09 18:54:58 PDT 2016","Sat Jul 09 18:55:08 PDT 2016","Sat Jul 16 18:55:08 PDT 2016","","","","10","0% (0/0)","0% (0/0)","0% (0/0)","http://s3.amazonaws.com/caption-scene/upload_batches/25000_26000/4932127810.jpg","1","1","","1"
"3X2LT8FDHWZYQAL484LQM66WV5VW80","377YSAKP64Z7EXND4X93FKNSP0FNM6","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 10:31:37 PDT 2016","1","BatchId:133918;","900","604800","Tue Jul 19 10:31:37 PDT 2016","","","39GAF6DQWSI5N5Z89CCH9DVRO0FV1Z","AZD3HQEB7KVNT","Submitted","Tue Jul 12 08:33:47 PDT 2016","Tue Jul 12 08:34:01 PDT 2016","Tue Jul 19 08:34:01 PDT 2016","","","","14","98% (968/985)","99% (141/142)","100% (104/104)","http://s3.amazonaws.com/caption-scene/upload_batches/5000_6000/2332806484.jpg","0","0","4",""
"39TX062QX15REDKO6SMGX8CSOLA3X9","377YSAKP64Z7EXND4X93FKNSP0FNM6","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 10:31:37 PDT 2016","1","BatchId:133918;","900","604800","Tue Jul 12 10:31:37 PDT 2016","","","3U8YCDAGXQYDB8I9RUE7PLD92GTQ0W","AZD3HQEB7KVNT","Submitted","Mon Jul 11 09:53:40 PDT 2016","Mon Jul 11 09:53:56 PDT 2016","Mon Jul 18 09:53:56 PDT 2016","","","","16","98% (968/985)","99% (141/142)","100% (104/104)","http://s3.amazonaws.com/caption-scene/upload_batches/3000_4000/2109479807.jpg","1","0","3",""
"3BC9H1KCYUTD5GCML8JKLJUYOKYYWG","377YSAKP64Z7EXND4X93FKNSP0FNM6","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 10:31:38 PDT 2016","1","BatchId:133918;","900","604800","Tue Jul 12 10:31:38 PDT 2016","","","3LUY3GC630I6T7HECGKR4VXM5YDP74","AZD3HQEB7KVNT","Submitted","Mon Jul 11 08:49:05 PDT 2016","Mon Jul 11 08:49:18 PDT 2016","Mon Jul 18 08:49:18 PDT 2016","","","","13","98% (968/985)","99% (141/142)","100% (104/104)","http://s3.amazonaws.com/caption-scene/upload_batches/28000_29000/6457288631.jpg","1","0","2",""
"33BFF6QPI1SCPDFYWNQUVPYLFJ43WG","377YSAKP64Z7EXND4X93FKNSP0FNM6","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 10:31:37 PDT 2016","1","BatchId:133918;","900","604800","Tue Jul 12 10:31:37 PDT 2016","","","3DQQ64TANH3LJMIFKOS3WBW3YPMWPD","AZD3HQEB7KVNT","Submitted","Mon Jul 11 09:52:34 PDT 2016","Mon Jul 11 09:52:54 PDT 2016","Mon Jul 18 09:52:54 PDT 2016","","","","20","98% (968/985)","99% (141/142)","100% (104/104)","http://s3.amazonaws.com/caption-scene/upload_batches/27000_28000/5929335311.jpg","1","1","","1"
"3ZLW647WALCQDXHRI31N7IIWBDA230","377YSAKP64Z7EXND4X93FKNSP0FNM6","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 10:34:02 PDT 2016","1","BatchId:133918;","900","604800","Tue Jul 12 10:34:02 PDT 2016","","","3M81GAB8A11EVVLJPABW929STKIBQV","AZD3HQEB7KVNT","Submitted","Wed Jul 06 08:46:47 PDT 2016","Wed Jul 06 08:46:56 PDT 2016","Wed Jul 13 08:46:56 PDT 2016","","","","9","98% (968/985)","99% (141/142)","100% (104/104)","http://s3.amazonaws.com/caption-scene/upload_batches/23000_24000/4784357673.jpg","0","0","3",""
"3NSCTNUR2Z4IWFZZ91IVSXZE1WSA52","377YSAKP64Z7EXND4X93FKNSP0FNM6","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 10:31:37 PDT 2016","1","BatchId:133918;","900","604800","Tue Jul 19 10:31:37 PDT 2016","","","3TE3O85731QKJJ0NJW7LDZGTV0HR2K","AZD3HQEB7KVNT","Submitted","Tue Jul 12 15:10:48 PDT 2016","Tue Jul 12 15:10:55 PDT 2016","Tue Jul 19 15:10:55 PDT 2016","","","","7","98% (968/985)","99% (141/142)","100% (104/104)","http://s3.amazonaws.com/caption-scene/upload_batches/8000_9000/2774554310.jpg","1","0","5",""
"3YD0MU1NC2IXJJDIXUXSQHDAS2NA7H","377YSAKP64Z7EXND4X93FKNSP0FNM6","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 10:31:38 PDT 2016","1","BatchId:133918;","900","604800","Tue Jul 19 10:31:38 PDT 2016","","","34FNN24DCNRLFHVWFA1DJ2C2IXN5Y1","AZD3HQEB7KVNT","Submitted","Tue Jul 12 12:27:33 PDT 2016","Tue Jul 12 12:27:44 PDT 2016","Tue Jul 19 12:27:44 PDT 2016","","","","11","98% (968/985)","99% (141/142)","100% (104/104)","http://s3.amazonaws.com/caption-scene/upload_batches/12000_13000/3229821595.jpg","1","1","","2"
"3WRAAIUSBJGRYYJ9F71QKGQYUV2XAZ","377YSAKP64Z7EXND4X93FKNSP0FNM6","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 10:34:03 PDT 2016","1","BatchId:133918;","900","604800","Tue Jul 19 10:34:03 PDT 2016","","","3TVRFO09GLXAH18721VIHD1Q2HTLXZ","AZD3HQEB7KVNT","Submitted","Tue Jul 12 15:10:39 PDT 2016","Tue Jul 12 15:10:48 PDT 2016","Tue Jul 19 15:10:48 PDT 2016","","","","9","98% (968/985)","99% (141/142)","100% (104/104)","http://s3.amazonaws.com/caption-scene/upload_batches/7000_8000/2640922346.jpg","0","0","5",""
"3ZQX1VYFTDMQL1C2HIUG5CTAS3X8O1","377YSAKP64Z7EXND4X93FKNSP0FNM6","Label image with its location","Answer questions about an image to label its location.","image categorization, locations, scene recognition","$0.03","Tue Jul 05 10:31:37 PDT 2016","1","BatchId:133918;","900","604800","Tue Jul 19 10:31:37 PDT 2016","","","3U5NZHP4LSK3MWNQPP63V8MGJ1BHP0","AZD3HQEB7KVNT","Submitted","Tue Jul 12 14:45:17 PDT 2016","Tue Jul 12 14:45:26 PDT 2016","Tue Jul 19 14:45:26 PDT 2016","","","","9","98% (968/985)","99% (141/142)","100% (104/104)","http://s3.amazonaws.com/caption-scene/upload_batches/16000_17000/3681651647.jpg","1","0","0",""
