layer_sizes	pool_mode	activation_fn	label_set	acc
[1024, 1024]	sum	prelu	full	0.6903
[512, 128]	mean	tanh	full	0.6892
[1024, 128]	sum	tanh	full	0.6892
[512, 512]	sum	prelu	full	0.6891
[512, 128]	mean	leakyrelu	full	0.689
[256, 256]	sum	leakyrelu	full	0.6889
[256, 256]	mean	prelu	full	0.6888
[512, 512]	mean	leakyrelu	full	0.6886
[512, 256]	mean	elu	full	0.6886
[1024, 1024]	mean	elu	full	0.6886
[1024, 512, 256]	mean	relu	full	0.6884
[512, 512]	mean	relu	full	0.6884
[512, 512]	sum	relu	full	0.6884
[512, 256]	sum	elu	full	0.6884
[1024, 512]	sum	elu	full	0.6884
[512, 512, 512]	sum	prelu	full	0.6883
[512, 256]	mean	leakyrelu	full	0.6882
[512, 512]	mean	prelu	full	0.688
[1024, 128]	sum	prelu	full	0.6879
[512, 512]	mean	tanh	full	0.6879
[256, 256]	mean	elu	full	0.6879
[256, 128]	sum	leakyrelu	full	0.6877
[256, 128]	mean	tanh	full	0.6877
[1024, 512]	sum	leakyrelu	full	0.6877
[1024, 128]	mean	relu	full	0.6876
[256, 256]	sum	relu	full	0.6876
[1024, 128]	mean	leakyrelu	full	0.6875
[1024, 256]	sum	leakyrelu	full	0.6875
[1024, 256]	sum	tanh	full	0.6874
[1024, 128]	sum	elu	full	0.6874
[256, 128]	sum	tanh	full	0.6874
[512, 256]	sum	relu	full	0.6873
[512, 512]	sum	tanh	full	0.6872
[1024, 512]	mean	elu	full	0.6872
[512, 128]	sum	prelu	full	0.6872
[1024, 128]	sum	relu	full	0.6872
[1024, 1024]	mean	leakyrelu	full	0.6872
[1024, 512]	mean	prelu	full	0.6871
[256, 256]	mean	tanh	full	0.6871
[1024, 1024]	mean	relu	full	0.687
[512, 256]	mean	prelu	full	0.687
[1024, 256]	sum	prelu	full	0.6869
[512, 256]	sum	prelu	full	0.6869
[1024, 128]	mean	prelu	full	0.6869
[256, 128]	mean	leakyrelu	full	0.6868
[512, 512]	sum	leakyrelu	full	0.6868
[1024, 512, 256]	mean	elu	full	0.6868
[1024, 512, 256]	sum	elu	full	0.6868
[1024, 1024, 1024]	mean	leakyrelu	full	0.6868
[1024, 256]	sum	elu	full	0.6866
[1024, 128]	sum	leakyrelu	full	0.6866
[1024, 1024]	mean	tanh	full	0.6866
[512, 256]	mean	relu	full	0.6865
[1024, 1024, 1024]	mean	elu	full	0.6865
[1024, 512, 256]	sum	prelu	full	0.6865
[512, 128]	sum	tanh	full	0.6865
[512, 512]	sum	elu	full	0.6864
[1024, 512, 256]	mean	tanh	full	0.6864
[512, 512, 256]	sum	elu	full	0.6864
[1024, 256]	mean	relu	full	0.6864
[1024, 1024]	mean	prelu	full	0.6863
[512, 256]	sum	leakyrelu	full	0.6863
[512, 512, 256]	sum	tanh	full	0.6863
[256, 128]	mean	elu	full	0.6862
[512, 512, 256]	mean	elu	full	0.6862
[512, 512, 256]	mean	tanh	full	0.6862
[1024, 128]	mean	elu	full	0.6862
[256, 128]	sum	elu	full	0.6861
[512, 128]	mean	relu	full	0.6861
[512, 512, 256]	mean	prelu	full	0.6861
[1024, 512]	sum	relu	full	0.6861
[1024, 128]	mean	tanh	full	0.6861
[256, 256]	sum	prelu	full	0.686
[256, 128]	sum	relu	full	0.686
[512, 128]	sum	elu	full	0.686
[1024, 512, 256]	sum	relu	full	0.686
[128, 128]	sum	relu	full	0.6859
