image_url,worker_id,q1,q2,q3,q4
2643601560.jpg,majority,outdoors,man-made,transportation_urban,NA
3259225196.jpg,majority,outdoors,man-made,transportation_urban,NA
4683661511.jpg,majority,indoors,man-made,athletics,NA
4895355979.jpg,majority,outdoors,man-made,transportation_urban,NA
4803311880.jpg,majority,indoors,man-made,recreation_entertainment,NA
4800783406.jpg,majority,outdoors,man-made,transportation_urban,NA
416272701.jpg,majority,outdoors,man-made,transportation_urban,NA
2366522060.jpg,majority,outdoors,man-made,other_unclear,NA
3645809088.jpg,majority,outdoors,man-made,recreation_entertainment,NA
303102907.jpg,majority,indoors,man-made,work_education,NA
3721881082.jpg,majority,outdoors,man-made,domestic,NA
2146530566.jpg,majority,indoors,man-made,food_drink,NA
3638783842.jpg,majority,indoors,man-made,recreation_entertainment,NA
514222285.jpg,majority,outdoors,natural,NA,mountain
2204777844.jpg,majority,indoors,man-made,recreation_entertainment,NA
3192005501.jpg,majority,indoors,man-made,other_unclear,NA
2481003841.jpg,majority,outdoors,man-made,recreation_entertainment,NA
4855048651.jpg,majority,indoors,man-made,recreation_entertainment,NA
1428578577.jpg,majority,outdoors,natural,NA,mountain
352008012.jpg,majority,indoors,man-made,food_drink,NA
7175002649.jpg,majority,indoors,man-made,work_education,NA
3819480825.jpg,majority,outdoors,natural,NA,field
483041457.jpg,majority,outdoors,man-made,food_drink,NA
4756096563.jpg,majority,outdoors,man-made,transportation_urban,NA
62964059.jpg,majority,outdoors,man-made,other_unclear,NA
3149894951.jpg,majority,indoors,man-made,recreation_entertainment,NA
4761666419.jpg,majority,outdoors,man-made,transportation_urban,NA
2076906555.jpg,majority,indoors,man-made,shop,NA
3502993968.jpg,majority,outdoors,man-made,transportation_urban,NA
4971585516.jpg,majority,outdoors,man-made,transportation_urban,NA
5790434381.jpg,majority,outdoors,man-made,transportation_urban,NA
3061481868.jpg,majority,outdoors,man-made,transportation_urban,NA
1716077525.jpg,majority,indoors,man-made,domestic,NA
1484711469.jpg,majority,outdoors,man-made,transportation_urban,NA
3612989048.jpg,majority,outdoors,man-made,transportation_urban,NA
4808278047.jpg,majority,outdoors,man-made,transportation_urban,NA
3126752627.jpg,majority,indoors,man-made,athletics,NA
2894893895.jpg,majority,indoors,man-made,recreation_entertainment,NA
523249012.jpg,majority,outdoors,natural,NA,body_of_water
